disease,severity,name,image,link
Alopecia Areata,Low,Indulekha Bringha Hair Oil,https://www.indulekha.co.in/cdn/shop/files/11997_S1-8901030929496.jpg?v=1692008732&width=1000,https://www.indulekha.co.in/products/bringha-ayurvedic-hair-growth-oil-100ml?srsltid=AfmBOoqhkbAHnLOrM74dfNixXyzOMMuam2PBOSyjk81kqXFQZ27yJPVI
Alopecia Areata,Low,Biotique Bio Bhringraj Oil,https://rukminim1.flixcart.com/image/1536/1536/xif0q/hair-oil/f/a/d/120-0-bio-bhringraj-biotique-original-imahcksgx9fcspgc.jpeg?q=90,"https://www.flipkart.com/biotique-bio-bhringraj-hair-oil/p/itmf3jypmgwecya6?pid=HOLEEHPAGZWHYGCM&lid=LSTHOLEEHPAGZWHYGCMONLWUV&marketplace=FLIPKART&cmpid=content_hair-oil_23231663444_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,782643135339,,,,c,,,,,,,&entryMethod=23231663444&&cmpid=content_23231663444_gmc_pla&gad_source=1&gad_campaignid=23231663444&gbraid=0AAAAADxRY59den12Ic4XFa-UBc2ZHWoEx&gclid=Cj0KCQiAqeDMBhDcARIsAJEbU9RGYy0z0VVOmDsttL9xr0ua2RRDn6Meybr2-1IVXILzzSNQXIyjatQaAvJkEALw_wcB"
Alopecia Areata,Low,WOW Onion Black Seed Oil,https://www.bbassets.com/media/uploads/p/l/40264254_3-wow-skin-science-wow-skin-science-onion-black-seed-hair-oil-200-ml.jpg,https://www.bigbasket.com/pd/40264254/wow-skin-science-wow-skin-science-onion-black-seed-hair-oil-200-ml-200-ml/?z=Ga9BX3pQL&utm_source=google&utm_medium=cpc&utm_term=%7Bkeyword%7D&utm_campaign=Global-PLA%2F
Alopecia Areata,Low,Mamaearth Onion Hair Oil,https://images.mamaearth.in/catalog/product/_/o/_onion-oil-250ml__1_1_1.jpeg?format=auto&height=600,https://mamaearth.in/product/onion-hair-oil-for-hair-regrowth-hair-fall-control-with-redensyl-250ml?srsltid=AfmBOopgr6862r-COwpLV2G6w9zskUNdmljDnQT5i5D4ThY16w2B7tBL
Alopecia Areata,Low,Khadi Natural Amla Oil,https://www.khadinatural.com/cdn/shop/files/Artboard_7_b786136a-19a2-4258-a8a6-639001db5342.jpg?v=1765612126&width=1000,https://www.khadinatural.com/products/khadi-pure-amla-hair-oil?variant=40550681706547&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=21260639027&utm_term=&utm_content=&utm_matchtype=&utm_device=c&utm_ad=&gad_source=1&gad_campaignid=23579126366&gbraid=0AAAAADcU-sqN91r0H11Dn0gb1rit-pDaB&gclid=Cj0KCQiAqeDMBhDcARIsAJEbU9RVHPKcyL7e9fvmUQoHCkGjTZTuB-Jnk4-QGX98lcP6NfWANPHiuA4aAn8XEALw_wcB
Alopecia Areata,Low,UrbanBotanics Castor Oil,https://www.mywishcare.com/cdn/shop/files/1_42648297-ceed-40fd-8600-5def6bac479d.jpg?v=1706700188&width=700,https://www.mywishcare.com/products/cold-pressed-castor-oil?variant=30291671973935&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=22589783015&gbraid=0AAAAACgwyhoLTAceVdnCWN8L19-UCHcZ_&gclid=Cj0KCQiAqeDMBhDcARIsAJEbU9RWQK0ltccs18bRWJXuyxP7pYOwwXqGUO_dHKrfmYavn9VvM0HzBzMaAkTGEALw_wcB
Alopecia Areata,Low,St.Botanica Argan Hair Oil,https://www.bbassets.com/media/uploads/p/l/40140554_5-stbotanica-moroccan-argan-hair-oil-jojoba-almond-castor-olive-avocado-rosemary-oils.jpg,https://www.bigbasket.com/pd/40140554/stbotanica-moroccan-argan-hair-oil-jojoba-almond-castor-olive-avocado-rosemary-oils-200-ml/
Alopecia Areata,Low,Plum Onion Hair Serum,https://rukminim1.flixcart.com/image/1536/1536/xif0q/hair-oil/z/c/r/100-0-onion-oil-with-bhringraj-amla-for-hairfall-control-hair-original-imahertnh424bqtv.jpeg?q=90,"https://www.flipkart.com/plum-onion-oil-bhringraj-amla-hairfall-control-hair-growth/p/itm379a68385fadf?pid=HOLGEMKEQU3HXWXS&lid=LSTHOLGEMKEQU3HXWXSPUNVKZ&marketplace=FLIPKART&cmpid=content_hair-oil_23231663444_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,782643135339,,,,c,,,,,,,&entryMethod=23231663444&&cmpid=content_23231663444_gmc_pla&gad_source=1&gad_campaignid=23231663444&gbraid=0AAAAADxRY59den12Ic4XFa-UBc2ZHWoEx&gclid=Cj0KCQiAqeDMBhDcARIsAJEbU9QD8C2uGbHVBDB4LU9_3m6BBHsYVFaTG_6iVHWSxnfza916MuW_s2YaAo9sEALw_wcB"
Alopecia Areata,Moderate,Mintop 5% Solution,"https://images.apollo247.in/pub/media/catalog/product/m/i/mintop_forte_5_pdp-01.jpg?tr=w-264,q-80,f-webp,dpr-false,c-at_max",https://www.apollopharmacy.in/medicine/mintop-forte-lotion-60ml?utm_source=gmc&utm_source=google&utm_medium=pmax&campaignid=22434256725&adgroupid=&keyword=&device=c&adtype=pla&product_id=MIN0022&utm_campaign=Pmax_Pharma_PLProducts_Topcities_TCPA_1404&utm_content=[adgroup]&gad_source=1&gad_campaignid=22440708134&gbraid=0AAAAACXO180kjVvDlks_5zjxeRwSzvGVH&gclid=Cj0KCQiAqeDMBhDcARIsAJEbU9RD-hJd9EgBulzKiTZbLRjpjQlcJb4r4H4po_WpoLZy6RgXNnUtKx4aAt0AEALw_wcB
Alopecia Areata,Moderate,Tugain 5% Foam,"https://cdn.zeptonow.com/production/ik-seo/tr:w-470,ar-690-700,pr-true,f-auto,,q-40,dpr-2/cms/product_variant/eef0198d-76ae-45e2-8f07-491dd19896fe/Tugain-5-Foam.jpeg",https://www.zepto.com/pn/tugain-5-foam/pvid/74b5fb96-9a02-45cb-ac24-6a95f3f8ae37?srsltid=AfmBOopVvhhxcZf7PTldHdUQQea7sng89JMcPMCn4tVio2el3kXwMgKk
